epoch,time,train/loss,metrics/accuracy_top1,metrics/accuracy_top5,val/loss,lr/pg0,lr/pg1,lr/pg2
153,2089.27,0.05918,0.9194,1,0.82702,0.000176786,0.000176786,0.000176786
154,2102.13,0.04746,0.92034,1,0.82599,0.000173252,0.000173252,0.000173252
155,2115.41,0.05797,0.91753,1,0.82538,0.000169718,0.000169718,0.000169718
156,2128.56,0.05913,0.92034,1,0.8295,0.000166183,0.000166183,0.000166183
157,2142.07,0.05526,0.91846,1,0.82623,0.000162649,0.000162649,0.000162649
158,2155.85,0.05167,0.9194,1,0.8256,0.000159115,0.000159115,0.000159115
159,2168.91,0.04577,0.92034,1,0.82798,0.000155581,0.000155581,0.000155581
160,2182.48,0.0495,0.92034,1,0.83143,0.000152046,0.000152046,0.000152046
161,2195.85,0.05371,0.91846,1,0.82524,0.000148512,0.000148512,0.000148512
162,2209.67,0.05374,0.92034,1,0.82553,0.000144978,0.000144978,0.000144978
163,2223.48,0.04657,0.92034,1,0.82785,0.000141443,0.000141443,0.000141443
164,2236.32,0.04435,0.91471,1,0.82955,0.000137909,0.000137909,0.000137909
165,2250.09,0.0424,0.92034,1,0.82927,0.000134375,0.000134375,0.000134375
166,2263.77,0.04519,0.91565,1,0.82917,0.000130841,0.000130841,0.000130841
167,2277.01,0.04276,0.91284,1,0.83077,0.000127306,0.000127306,0.000127306
168,2290.27,0.03171,0.91378,1,0.82666,0.000123772,0.000123772,0.000123772
169,2304.25,0.04498,0.9194,1,0.82525,0.000120238,0.000120238,0.000120238
170,2317.52,0.04543,0.92221,1,0.82512,0.000116703,0.000116703,0.000116703
171,2330.48,0.04817,0.9194,1,0.82489,0.000113169,0.000113169,0.000113169
172,2343.85,0.0419,0.91753,1,0.82844,0.000109635,0.000109635,0.000109635
173,2357.46,0.05168,0.91753,1,0.82838,0.0001061,0.0001061,0.0001061
174,2370.74,0.03911,0.91565,1,0.82772,0.000102566,0.000102566,0.000102566
175,2384.49,0.03619,0.91659,1,0.82969,9.90318e-05,9.90318e-05,9.90318e-05
176,2398.14,0.03874,0.91846,1,0.82873,9.54975e-05,9.54975e-05,9.54975e-05
177,2411.38,0.03848,0.9194,1,0.82864,9.19632e-05,9.19632e-05,9.19632e-05
178,2424.98,0.03413,0.9194,1,0.82807,8.84289e-05,8.84289e-05,8.84289e-05
179,2438.75,0.04331,0.91565,1,0.82649,8.48946e-05,8.48946e-05,8.48946e-05
180,2452.47,0.04,0.91565,1,0.83052,8.13603e-05,8.13603e-05,8.13603e-05
181,2465.47,0.03469,0.92034,1,0.83098,7.7826e-05,7.7826e-05,7.7826e-05
182,2478.53,0.03708,0.92409,1,0.83154,7.42917e-05,7.42917e-05,7.42917e-05
183,2491.9,0.03065,0.92034,1,0.83048,7.07574e-05,7.07574e-05,7.07574e-05
